"","topic","term","beta"
"1",1,"will",0.0221441279184695
"2",1,"family",0.0204748621757561
"3",1,"know",0.0188055964330427
"4",1,"can",0.0181906037909904
"5",1,"life",0.0155988490851984
"6",1,"god",0.015379208855894
"7",1,"want",0.0109864042698061
"8",1,"world",0.00971249093984054
"9",1,"children",0.00922928243537086
"10",1,"church",0.00922928243537086
"11",2,"birthday",0.0286904885925617
"12",2,"sweet",0.0211202555821787
"13",2,"lucy",0.0125082473868806
"14",2,"mom",0.0117442789179428
"15",2,"pretty",0.0114664722019655
"16",2,"party",0.0113275688439768
"17",2,"best",0.0109803104490051
"18",2,"brother",0.0109803104490051
"19",2,"andrew",0.0100079869430843
"20",2,"awesome",0.00875785672118623
"21",3,"lottie",0.0323609589564597
"22",3,"little",0.0283865379226007
"23",3,"nielson",0.0187052559170467
"24",3,"home",0.0166670912842985
"25",3,"ranch",0.0155970548521057
"26",3,"house",0.0143741560724568
"27",3,"nies",0.0128455325978956
"28",3,"around",0.0126926702504395
"29",3,"day",0.0122340832080711
"30",3,"took",0.0100430562278668
"31",4,"family",0.0318041800536584
"32",4,"photos",0.0249147096816932
"33",4,"photo",0.0241197707926203
"34",4,"amazing",0.0235898115332384
"35",4,"beautiful",0.0199463416249876
"36",4,"utah",0.0157066675499321
"37",4,"lake",0.010605809678381
"38",4,"city",0.0104733198635355
"39",4,"arizona",0.00782352356662581
"40",4,"blue",0.00735980921466662
"41",5,"baby",0.0233238572843134
"42",5,"little",0.0231960903312358
"43",5,"just",0.0217906538473824
"44",5,"see",0.0176382278723608
"45",5,"like",0.0169355096304341
"46",5,"look",0.0148912383811927
"47",5,"another",0.0139968697096496
"48",5,"still",0.0100999776407832
"49",5,"happy",0.00997221068770562
"50",5,"eyes",0.00984444373462804
"51",5,"now",0.00984444373462804
"52",6,"children",0.0303425029279858
"53",6,"mother",0.0211443425600594
"54",6,"know",0.0189733481875054
"55",6,"time",0.0155454623361042
"56",6,"make",0.0132030736709801
