"","x"
"1",89
"2",124
"3",36
"4",167
"5",99
"6",21
"7",89
"8",112
"9",66
"10",240
"11",26
"12",26
"13",65
"14",144
"15",101
"16",74
"17",90
"18",145
"19",122
"20",99
"21",188
"22",191
"23",77
"24",36
"25",90
"26",34
"27",403
"28",185
"29",90
"30",143
"31",142
"32",72
"33",112
"34",102
"35",71
"36",82
"37",158
"38",110
"39",113
"40",117
"41",15
"42",175
"43",118
"44",76
"45",114
"46",55
"47",145
"48",14
"49",118
"50",100
"51",237
"52",111
"53",131
"54",54
"55",164
"56",52
"57",110
"58",103
"59",207
"60",81
"61",32
"62",58
"63",12
"64",183
"65",25
"66",82
"67",155
"68",79
"69",121
"70",77
"71",124
"72",261
"73",71
"74",52
"75",138
"76",165
"77",138
"78",156
"79",9
"80",3
"81",78
"82",118
"83",108
"84",80
"85",256
"86",139
"87",110
"88",83
"89",92
"90",155
"91",17
"92",30
"93",132
"94",57
"95",65
"96",109
"97",189
"98",8
"99",9
"100",56
"101",92
"102",115
"103",99
"104",222
"105",104
"106",83
"107",98
"108",131
"109",121
"110",104
"111",159
"112",187
"113",11
"114",62
"115",21
"116",103
"117",64
"118",104
"119",82
"120",155
"121",52
"122",52
"123",114
"124",78
"125",273
"126",42
"127",137
"128",64
"129",22
"130",160
"131",67
"132",64
"133",83
"134",131
"135",116
"136",22
"137",53
"138",147
"139",98
"140",299
"141",56
"142",37
"143",133
"144",77
"145",88
"146",43
"147",140
"148",98
"149",90
"150",38
"151",99
"152",68
"153",34
"154",107
"155",119
"156",124
"157",55
"158",68
"159",139
"160",55
"161",54
"162",81
"163",61
"164",91
"165",89
"166",59
"167",140
"168",65
"169",81
"170",102
"171",69
"172",414
"173",75
"174",66
"175",116
"176",345
"177",57
"178",22
"179",91
"180",161
"181",81
"182",17
"183",97
"184",105
"185",52
"186",96
"187",107
"188",95
"189",130
"190",122
"191",103
"192",106
"193",43
"194",183
"195",143
"196",123
"197",75
"198",69
"199",34
"200",61
"201",113
"202",60
"203",212
"204",126
"205",75
"206",227
"207",23
"208",38
"209",76
"210",58
"211",120
"212",122
"213",113
"214",57
"215",225
"216",352
"217",50
"218",69
"219",117
"220",53
"221",99
"222",105
"223",38
"224",192
"225",80
"226",102
"227",91
"228",141
"229",26
"230",167
"231",67
"232",110
"233",89
"234",107
"235",149
"236",34
"237",42
"238",91
"239",138
"240",125
"241",184
"242",60
"243",123
"244",170
"245",22
"246",110
"247",96
"248",127
"249",77
"250",5
"251",93
"252",96
"253",100
"254",90
"255",23
"256",59
"257",37
"258",160
"259",71
"260",93
"261",80
"262",122
"263",38
"264",85
"265",33
"266",97
"267",169
"268",84
"269",104
"270",160
"271",33
"272",164
"273",112
"274",119
"275",82
"276",2
"277",131
"278",44
"279",89
"280",85
"281",137
"282",65
"283",84
"284",47
"285",119
"286",104
"287",197
"288",124
"289",65
"290",73
"291",24
"292",116
"293",47
"294",111
"295",17
"296",91
"297",150
"298",159
"299",109
"300",272
"301",55
"302",27
"303",37
"304",58
"305",95
"306",115
"307",72
"308",12
"309",51
"310",51
"311",55
"312",80
"313",83
"314",93
"315",117
"316",111
"317",68
"318",138
"319",14
"320",286
"321",22
"322",77
"323",110
"324",120
"325",188
"326",70
"327",116
"328",69
"329",2843
"330",251
"331",62
"332",143
"333",106
"334",123
"335",131
"336",201
"337",30
"338",67
"339",177
"340",289
"341",190
"342",92
"343",212
"344",79
"345",213
"346",10
"347",12
"348",93
"349",207
"350",110
"351",266
"352",103
"353",10
"354",8
"355",52
"356",111
"357",77
"358",114
"359",177
"360",13
"361",18
"362",91
"363",46
"364",151
"365",108
"366",51
"367",2
"368",65
"369",71
"370",24
"371",64
"372",22
"373",171
"374",106
"375",29
"376",102
"377",214
"378",127
"379",153
"380",50
"381",0
"382",134
"383",106
"384",238
"385",99
"386",197
"387",42
"388",77
"389",115
"390",68
"391",131
"392",92
"393",130
"394",69
"395",67
"396",141
"397",115
"398",71
"399",97
"400",160
"401",39
"402",90
"403",160
"404",82
"405",161
"406",82
"407",124
"408",263
"409",95
"410",88
"411",38
"412",46
"413",60
"414",149
"415",129
"416",99
"417",19
"418",86
"419",183
"420",137
"421",97
"422",89
"423",88
"424",77
"425",125
"426",26
"427",36
"428",145
"429",73
"430",91
"431",182
"432",51
"433",94
"434",63
"435",100
"436",258
"437",53
"438",221
"439",52
"440",195
"441",273
"442",62
"443",93
"444",51
"445",36
"446",81
"447",12
"448",219
"449",133
"450",142
"451",121
"452",137
"453",122
"454",45
"455",55
"456",100
"457",198
"458",250
"459",69
"460",170
"461",146
"462",67
"463",91
"464",89
"465",64
"466",77
"467",143
"468",56
"469",20
"470",78
"471",64
"472",130
"473",32
"474",88
"475",66
"476",55
"477",171
"478",156
"479",27
"480",161
"481",121
"482",81
"483",87
"484",60
"485",116
"486",169
"487",200
"488",127
"489",174
"490",133
"491",48
"492",74
"493",34
"494",176
"495",63
"496",67
"497",134
"498",59
"499",15
"500",147
"501",58
"502",156
"503",55
"504",144
"505",130
"506",116
"507",218
"508",158
"509",57
"510",109
"511",223
"512",68
"513",97
"514",80
"515",30
"516",88
"517",62
"518",110
"519",97
"520",68
"521",43
"522",84
"523",86
"524",199
"525",60
"526",202
"527",84
"528",82
"529",262
"530",52
"531",54
"532",67
"533",67
"534",131
"535",44
"536",159
"537",71
"538",205
"539",69
"540",83
"541",139
"542",36
"543",61
"544",74
"545",68
"546",89
"547",143
"548",10
"549",106
"550",81
"551",128
"552",240
"553",89
"554",114
"555",80
"556",60
"557",57
"558",99
"559",47
"560",106
"561",244
"562",57
"563",234
"564",76
"565",108
"566",87
"567",49
"568",94
"569",152
"570",36
"571",26
"572",40
"573",66
"574",114
"575",69
"576",76
"577",69
"578",31
"579",115
"580",73
"581",137
"582",111
"583",18
"584",146
"585",165
"586",23
"587",170
"588",18
"589",56
"590",52
"591",78
"592",120
"593",110
"594",174
"595",40
"596",99
"597",88
"598",139
"599",46
"600",88
"601",180
"602",115
"603",53
"604",79
"605",32
"606",210
"607",62
"608",50
"609",141
"610",33
"611",88
"612",73
"613",101
"614",40
"615",104
"616",83
"617",101
"618",122
"619",106
"620",79
"621",263
"622",24
"623",125
"624",88
"625",114
"626",85
"627",157
"628",86
"629",94
"630",310
"631",93
"632",65
"633",141
"634",95
"635",80
"636",77
"637",94
"638",163
"639",177
"640",146
"641",9
"642",60
"643",46
"644",52
"645",159
"646",64
"647",68
"648",170
"649",76
"650",27
"651",59
"652",25
"653",63
"654",70
"655",122
"656",66
"657",41
"658",94
"659",78
"660",99
"661",78
"662",66
"663",48
"664",110
"665",54
"666",63
"667",88
"668",20
"669",63
"670",108
"671",104
"672",189
"673",94
"674",64
"675",90
"676",159
"677",233
"678",162
"679",201
"680",85
"681",8
"682",24
"683",145
"684",162
"685",31
"686",143
"687",214
"688",100
"689",132
"690",137
"691",213
"692",101
"693",77
"694",123
"695",167
"696",77
"697",169
"698",190
"699",96
"700",264
"701",89
"702",59
"703",71
"704",134
"705",38
"706",21
"707",80
"708",94
"709",86
"710",150
"711",50
"712",133
"713",71
"714",58
"715",4
"716",151
"717",98
"718",61
"719",167
"720",196
"721",68
"722",14
"723",96
"724",69
"725",64
"726",71
"727",57
"728",19
"729",94
"730",88
"731",39
"732",19
"733",13
"734",100
"735",82
"736",127
"737",118
"738",99
"739",83
"740",109
"741",95
"742",135
"743",99
"744",118
"745",83
"746",86
"747",83
"748",66
"749",71
"750",63
"751",16
"752",82
"753",111
"754",128
"755",19
"756",136
"757",67
"758",104
"759",40
"760",146
"761",60
"762",66
"763",71
"764",126
"765",86
"766",82
"767",100
"768",88
"769",57
"770",59
"771",46
"772",67
"773",37
"774",92
"775",65
"776",37
"777",39
"778",107
"779",18
"780",43
"781",64
"782",40
"783",116
"784",91
"785",33
"786",53
"787",148
"788",144
"789",30
"790",99
"791",50
"792",146
"793",122
"794",95
"795",42
"796",84
"797",65
"798",114
"799",67
"800",30
"801",112
"802",175
"803",76
"804",24
"805",129
"806",72
"807",51
"808",8
"809",36
"810",144
"811",100
"812",50
"813",88
"814",114
"815",91
"816",50
"817",70
"818",85
"819",64
"820",110
"821",155
"822",41
"823",128
"824",24
"825",101
"826",72
"827",112
"828",90
"829",105
"830",112
"831",54
"832",84
"833",113
"834",33
"835",111
"836",147
"837",66
"838",309
"839",96
"840",159
"841",58
"842",79
"843",92
"844",152
"845",205
"846",85
"847",110
"848",175
"849",100
"850",163
"851",125
"852",204
"853",146
"854",64
"855",184
"856",9
"857",50
"858",6
"859",89
"860",38
"861",110
"862",226
"863",92
"864",132
"865",98
"866",156
"867",34
"868",36
"869",121
"870",125
"871",223
"872",150
"873",193
"874",110
"875",72
"876",16
"877",154
"878",51
"879",4
"880",335
"881",112
"882",351
"883",98
"884",165
"885",88
"886",171
"887",140
"888",106
"889",233
"890",107
"891",168
"892",187
"893",79
"894",104
"895",52
"896",31
"897",217
"898",52
"899",61
"900",141
"901",110
"902",221
"903",100
"904",112
"905",129
"906",89
"907",81
"908",152
"909",196
"910",113
"911",193
"912",115
"913",76
"914",89
"915",112
"916",75
"917",223
"918",9
"919",51
"920",26
"921",0
"922",97
"923",141
"924",118
"925",63
"926",88
"927",262
"928",68
"929",46
"930",129
"931",77
"932",131
"933",45
"934",54
"935",181
"936",128
"937",88
"938",143
"939",54
"940",142
"941",110
"942",38
"943",93
"944",90
"945",70
"946",23
"947",68
"948",115
"949",136
"950",142
"951",266
"952",159
"953",19
"954",84
"955",129
"956",173
"957",175
"958",354
"959",186
"960",181
"961",96
"962",157
"963",199
"964",76
"965",65
"966",29
"967",76
"968",141
"969",129
"970",54
"971",136
"972",56
"973",44
"974",76
"975",51
"976",11
"977",100
"978",81
"979",140
"980",52
"981",108
"982",67
"983",126
"984",35
"985",77
"986",147
"987",13
"988",106
"989",44
"990",65
"991",110
"992",105
"993",10
"994",272
"995",172
"996",59
"997",195
"998",111
"999",0
"1000",16
"1001",170
"1002",170
"1003",146
"1004",121
"1005",143
"1006",135
"1007",6
"1008",77
"1009",43
"1010",111
"1011",95
"1012",16
"1013",154
"1014",90
"1015",152
"1016",109
"1017",229
"1018",10
"1019",148
"1020",150
"1021",109
"1022",57
"1023",40
"1024",8
"1025",63
"1026",97
"1027",85
"1028",49
"1029",459
"1030",17
"1031",182
"1032",141
"1033",262
"1034",247
"1035",285
"1036",7
"1037",45
"1038",168
"1039",57
"1040",128
"1041",185
"1042",10
"1043",152
"1044",48
"1045",107
"1046",156
"1047",175
"1048",16
"1049",148
"1050",111
"1051",92
"1052",80
"1053",178
"1054",13
"1055",188
"1056",119
"1057",66
"1058",69
"1059",96
"1060",144
"1061",106
"1062",26
"1063",53
"1064",200
"1065",3
"1066",67
"1067",111
"1068",49
"1069",102
"1070",239
"1071",9
"1072",108
"1073",78
"1074",160
"1075",54
"1076",64
"1077",15
"1078",88
"1079",59
"1080",79
"1081",51
"1082",82
"1083",10
"1084",93
"1085",64
"1086",184
"1087",93
"1088",54
"1089",19
"1090",83
"1091",81
"1092",31
"1093",95
"1094",31
"1095",12
"1096",80
"1097",182
"1098",114
"1099",272
"1100",78
"1101",11
"1102",93
"1103",10
"1104",44
"1105",41
"1106",65
"1107",110
"1108",5
"1109",129
"1110",68
"1111",61
"1112",143
"1113",79
"1114",3
"1115",92
"1116",147
"1117",132
"1118",132
"1119",47
"1120",7
"1121",113
"1122",54
"1123",170
"1124",71
"1125",133
"1126",11
"1127",137
"1128",112
"1129",94
"1130",85
"1131",175
"1132",19
"1133",84
"1134",135
"1135",134
"1136",173
"1137",76
"1138",6
"1139",30
"1140",228
"1141",72
"1142",10
"1143",0
"1144",0
"1145",10
"1146",0
"1147",0
"1148",0
"1149",0
"1150",0
"1151",7
"1152",0
"1153",12
"1154",31
"1155",32
"1156",249
"1157",44
"1158",124
"1159",13
"1160",88
"1161",89
"1162",203
"1163",51
"1164",108
"1165",12
"1166",213
"1167",72
"1168",146
"1169",97
"1170",121
"1171",8
"1172",133
"1173",121
"1174",106
"1175",93
"1176",83
"1177",13
"1178",27
"1179",71
"1180",124
"1181",105
"1182",12
"1183",106
"1184",70
"1185",96
"1186",50
"1187",135
"1188",13
"1189",153
"1190",37
"1191",22
"1192",7
"1193",45
"1194",15
"1195",116
"1196",33
"1197",70
"1198",33
"1199",40
"1200",14
"1201",56
"1202",29
"1203",61
"1204",49
"1205",171
"1206",10
"1207",129
"1208",44
"1209",56
"1210",75
"1211",56
"1212",11
"1213",2
"1214",137
"1215",114
"1216",109
"1217",186
"1218",137
"1219",10
"1220",89
"1221",67
"1222",74
"1223",72
"1224",167
"1225",4
"1226",54
"1227",127
"1228",66
"1229",68
"1230",8
"1231",126
"1232",59
"1233",113
"1234",73
"1235",163
"1236",6
"1237",1
"1238",83
"1239",100
"1240",106
"1241",121
"1242",142
"1243",86
"1244",122
"1245",120
"1246",150
"1247",74
"1248",5
"1249",69
"1250",68
"1251",96
"1252",19
"1253",96
"1254",7
"1255",91
"1256",129
"1257",47
"1258",54
"1259",67
"1260",12
"1261",139
"1262",15
"1263",83
"1264",110
"1265",29
"1266",118
"1267",10
"1268",58
"1269",43
"1270",99
"1271",36
"1272",48
"1273",13
"1274",3
"1275",19
"1276",7
"1277",3
"1278",65
"1279",77
"1280",7
"1281",43
"1282",50
"1283",31
"1284",71
"1285",65
"1286",5
"1287",1
"1288",132
"1289",144
"1290",174
"1291",38
"1292",16
"1293",6
"1294",101
"1295",9
"1296",265
"1297",62
"1298",98
"1299",18
"1300",181
"1301",80
"1302",63
"1303",64
"1304",60
"1305",13
"1306",9
"1307",60
"1308",96
"1309",136
"1310",322
"1311",68
"1312",9
"1313",124
"1314",208
"1315",109
"1316",62
"1317",134
"1318",13
"1319",66
"1320",74
"1321",53
"1322",85
"1323",52
"1324",11
"1325",167
"1326",50
"1327",52
"1328",26
"1329",35
"1330",7
"1331",7
"1332",55
"1333",139
"1334",112
"1335",49
"1336",10
"1337",206
"1338",92
"1339",61
"1340",93
"1341",121
"1342",30
"1343",37
"1344",138
"1345",23
"1346",35
"1347",48
"1348",244
"1349",74
"1350",12
"1351",69
"1352",53
"1353",177
"1354",39
"1355",315
"1356",7
"1357",196
"1358",125
"1359",343
"1360",39
"1361",281
"1362",11
"1363",125
"1364",76
"1365",100
"1366",52
"1367",255
"1368",96
"1369",14
"1370",177
"1371",83
"1372",77
"1373",92
"1374",284
"1375",35
"1376",49
"1377",18
"1378",64
"1379",30
"1380",31
"1381",29
"1382",62
"1383",182
"1384",71
"1385",220
"1386",251
"1387",247
