"","x"
"one",17574
"can",11201
"time",10987
"little",10497
"know",10150
"day",8593
"dont",8256
"now",8074
"really",8040
"back",7929
"going",7363
"kids",7094
"got",6444
"think",6313
"love",6271
"make",6201
"want",6078
"see",5972
"last",5835
"things",5710
"first",5658
"new",5576
"around",5440
"right",5431
"still",5428
"home",5382
"good",5294
"two",5196
"way",5076
"something",5057
"year",4993
"every",4946
"take",4874
"family",4778
"made",4646
"look",4598
"didnt",4528
"life",4468
"people",4358
"baby",4300
"ive",4294
"week",4171
"house",4137
"well",4078
"never",4057
"thing",4011
"next",3938
"room",3937
"big",3914
"many",3879
"years",3853
"post",3850
"days",3672
"ever",3657
"come",3630
"need",3573
"said",3555
"night",3551
"boys",3516
"say",3493
"old",3458
"sure",3426
"pretty",3410
"find",3399
"blog",3382
"always",3376
"today",3375
"wanted",3364
"work",3334
"took",3311
"great",3298
"pictures",3293
"lot",3289
"children",3244
"use",3243
"thought",3204
"fun",3171
"cant",3117
"since",3085
"mom",3072
"let",3069
"put",3048
"favorite",3029
"long",2988
"school",2988
"feel",2964
"morning",2911
"getting",2846
"friends",2831
"asked",2794
"kind",2790
"thats",2769
"another",2756
"ill",2755
"tell",2753
"went",2727
"away",2721
"help",2709
"probably",2680
"head",2676
"maybe",2618
"read",2581
"told",2576
"bit",2565
"everything",2536
"three",2530
"part",2509
"god",2508
"hard",2476
"someone",2464
"camera",2454
"photo",2447
"yes",2430
"happy",2429
"actually",2424
"give",2399
"came",2394
"enough",2356
"bed",2339
"better",2315
"whole",2311
"together",2304
"girls",2288
"hair",2285
"face",2279
"used",2254
"keep",2252
"remember",2243
"photos",2242
"beautiful",2224
"started",2223
"times",2207
"trying",2198
"totally",2181
"weekend",2175
"different",2167
"without",2153
"hes",2151
"anything",2138
"found",2124
"minutes",2116
"ago",2110
"hours",2104
"picture",2092
"best",2082
"looking",2056
"girl",2055
"doesnt",2051
"point",2044
"try",2038
"might",2026
"book",2019
"friend",2015
"youre",2013
"left",2010
"christmas",1996
"car",1986
"months",1986
"may",1981
"share",1971
"idea",1959
"weeks",1947
"end",1944
"couple",1919
"place",1917
"making",1914
"already",1906
"phone",1898
"stop",1894
"full",1877
"course",1868
"makes",1868
"child",1845
"least",1823
"several",1822
"hope",1816
"instead",1804
"leave",1761
"yesterday",1756
"though",1753
"done",1750
"cute",1740
"yet",1738
"person",1733
"world",1727
"hand",1699
"stuff",1698
"okay",1690
"shes",1678
"sister",1678
"decided",1648
"wasnt",1648
"water",1648
"saw",1647
"wait",1640
"small",1635
"thank",1628
"later",1622
"sweet",1610
"mother",1602
"birthday",1601
"store",1595
"outside",1587
"set",1582
"top",1582
"food",1571
"story",1568
"finally",1566
"looked",1564
"felt",1561
"start",1557
"crazy",1552
"front",1549
"mean",1547
"fact",1545
"paper",1544
"please",1540
"care",1530
"gift",1529
"talk",1528
"dog",1520
"eat",1494
"daughter",1487
"words",1487
"using",1484
"dinner",1479
"four",1477
"sometimes",1473
"everyone",1471
"month",1469
"taking",1465
"knew",1453
"called",1449
"nothing",1449
"brother",1447
"couldnt",1443
"play",1442
"show",1442
"inside",1432
"side",1423
"visit",1421
"else",1420
"thinking",1416
"hands",1415
"needed",1410
"second",1410
"write",1410
"ones",1403
"wont",1390
"door",1383
"tried",1381
"heart",1371
"working",1370
"call",1369
"table",1366
"name",1365
"entire",1356
"kid",1354
"shop",1353
"watch",1351
"spent",1348
"isnt",1347
"anyway",1340
"far",1338
"living",1333
"perfect",1333
"kitchen",1329
"party",1328
"able",1324
"free",1324
"parents",1323
"coming",1320
"ask",1308
"hot",1296
"real",1294
"paint",1291
"almost",1284
"usually",1278
"change",1273
"cut",1269
"check",1268
"shit",1264
"enjoy",1259
"boy",1255
"eyes",1255
"open",1255
"live",1253
"buy",1251
"amazing",1248
"mind",1248
"trip",1242
"reading",1241
"sleep",1229
"five",1226
"white",1226
"looks",1224
"hell",1218
"talking",1213
"gave",1212
"weve",1208
"awesome",1205
"body",1204
"guess",1203
"bad",1192
"run",1192
"nice",1187
"comment",1181
"gets",1179
"pick",1179
"completely",1169
"damn",1167
"excited",1160
"high",1155
"hear",1154
"guys",1151
"email",1146
"means",1146
"however",1145
"code",1144
"bought",1143
"walk",1142
"running",1140
"list",1138
"sitting",1136
"close",1134
"iso",1133
"fine",1129
"ready",1129
"light",1128
"believe",1124
"others",1122
"thanks",1121
"books",1110
"waiting",1109
"box",1104
"sit",1102
"feeling",1098
"special",1096
"along",1095
"past",1094
"shot",1086
