"","V1"
"1",13
"2",12
"3",12
"4",12
"5",12
"6",13
"7",12
"8",12
"9",12
"10",12
"11",12
"12",12
"13",12
"14",12
"15",12
"16",12
"17",13
"18",12
"19",12
"20",12
"21",12
"22",12
"23",12
"24",12
"25",12
"26",12
"27",12
"28",12
"29",13
"30",13
"31",12
"32",12
"33",12
"34",12
"35",12
"36",12
"37",12
"38",16
"39",12
"40",12
"41",12
"42",12
"43",12
"44",12
"45",12
"46",12
"47",12
"48",12
"49",12
"50",12
"51",12
"52",12
"53",12
"54",13
"55",12
"56",12
"57",12
"58",12
"59",12
"60",12
"61",13
"62",12
"63",13
"64",12
"65",13
"66",12
"67",12
"68",12
"69",12
"70",12
"71",12
"72",12
"73",12
"74",20
"75",12
"76",12
"77",12
"78",12
"79",12
"80",13
"81",12
"82",13
"83",12
"84",12
"85",12
"86",12
"87",12
"88",12
"89",12
"90",12
"91",12
"92",12
"93",12
"94",12
"95",12
"96",12
"97",12
"98",12
"99",12
"100",12
"101",12
"102",12
"103",12
"104",12
"105",12
"106",13
"107",12
"108",12
"109",12
"110",13
"111",12
"112",12
"113",12
"114",12
"115",4
"116",13
"117",12
"118",12
"119",13
"120",12
"121",12
"122",12
"123",12
"124",12
"125",12
"126",12
"127",12
"128",12
"129",12
"130",12
"131",12
"132",12
"133",12
"134",12
"135",12
"136",12
"137",13
"138",12
"139",13
"140",12
"141",12
"142",12
"143",12
"144",12
"145",12
"146",12
"147",12
"148",4
"149",13
"150",12
"151",12
"152",12
"153",12
"154",12
"155",12
"156",12
"157",13
"158",12
"159",13
"160",13
"161",13
"162",12
"163",13
"164",12
"165",12
"166",12
"167",12
"168",12
"169",12
"170",12
"171",12
"172",12
"173",12
"174",13
"175",4
"176",12
"177",13
"178",12
"179",13
"180",12
"181",13
"182",13
"183",13
"184",12
"185",13
"186",13
"187",12
"188",12
"189",12
"190",13
"191",12
"192",13
"193",13
"194",4
"195",12
"196",12
"197",4
"198",10
"199",10
"200",19
"201",10
"202",3
"203",3
"204",10
"205",3
"206",10
"207",4
"208",14
"209",10
"210",3
"211",12
"212",3
"213",3
"214",10
"215",19
"216",3
"217",3
"218",10
"219",3
"220",3
"221",3
"222",8
"223",1
"224",2
"225",1
"226",10
"227",3
"228",1
"229",8
"230",19
"231",3
"232",7
"233",19
"234",3
"235",10
"236",5
"237",16
"238",3
"239",10
"240",8
"241",3
"242",16
"243",16
"244",10
"245",7
"246",3
"247",3
"248",8
"249",14
"250",11
"251",10
"252",10
"253",10
"254",8
"255",10
"256",3
"257",3
"258",1
"259",12
"260",20
"261",3
"262",1
"263",10
"264",3
"265",8
"266",3
"267",20
"268",3
"269",16
"270",8
"271",16
"272",8
"273",8
"274",6
"275",3
"276",3
"277",7
"278",3
"279",3
"280",8
"281",10
"282",18
"283",18
"284",15
"285",11
"286",8
"287",13
"288",3
"289",10
"290",3
"291",8
"292",16
"293",19
"294",16
"295",16
"296",1
"297",3
"298",1
"299",17
"300",7
"301",7
"302",8
"303",8
"304",3
"305",1
"306",3
"307",3
"308",17
"309",7
"310",3
"311",10
"312",1
"313",1
"314",20
"315",11
"316",3
"317",3
"318",3
"319",3
"320",3
"321",3
"322",17
"323",3
"324",14
"325",3
"326",1
"327",3
"328",8
"329",11
"330",8
"331",3
"332",16
"333",18
"334",18
"335",3
"336",3
"337",13
"338",7
"339",3
"340",3
"341",8
"342",3
"343",8
"344",1
"345",1
"346",16
"347",3
"348",8
"349",8
"350",1
"351",17
"352",3
"353",16
"354",3
"355",3
"356",3
"357",16
"358",16
"359",3
"360",7
"361",16
"362",6
"363",2
"364",3
"365",5
"366",10
"367",3
"368",6
"369",3
"370",3
"371",1
"372",1
"373",16
"374",3
"375",3
"376",3
"377",3
"378",18
"379",3
"380",3
"381",3
"382",3
"383",3
"384",10
"385",3
"386",18
"387",3
"388",3
"389",3
"390",3
"391",3
"392",17
"393",12
"394",10
"395",1
"396",3
"397",3
"398",5
"399",10
"400",10
"401",3
"402",3
"403",1
"404",3
"405",3
"406",7
"407",20
"408",16
"409",7
"410",3
"411",16
"412",3
"413",9
"414",11
"415",10
"416",3
"417",3
"418",3
"419",3
"420",3
"421",3
"422",3
"423",3
"424",3
"425",3
"426",3
"427",3
"428",3
"429",1
"430",6
"431",17
"432",3
"433",8
"434",17
"435",8
"436",6
"437",3
"438",6
"439",3
"440",3
"441",3
"442",10
"443",3
"444",19
"445",3
"446",3
"447",3
"448",1
"449",3
"450",20
"451",14
"452",16
"453",3
"454",3
"455",16
"456",3
"457",6
"458",3
"459",14
"460",3
"461",6
"462",3
"463",3
"464",3
"465",3
"466",3
"467",3
"468",3
"469",19
"470",3
"471",19
"472",19
"473",1
"474",11
"475",3
"476",6
"477",7
"478",3
"479",3
"480",3
"481",3
"482",3
"483",17
"484",3
"485",3
"486",7
"487",3
"488",3
"489",3
"490",3
"491",18
"492",16
"493",3
"494",3
"495",3
"496",4
"497",3
"498",3
"499",17
"500",3
"501",3
"502",1
"503",3
"504",4
"505",3
"506",3
"507",3
"508",13
"509",5
"510",16
"511",6
"512",3
"513",4
"514",3
"515",3
"516",4
"517",3
"518",3
"519",3
"520",18
"521",4
"522",7
"523",3
"524",16
"525",18
"526",16
"527",8
"528",3
"529",3
"530",3
"531",11
"532",3
"533",3
"534",3
"535",3
"536",3
"537",8
"538",3
"539",3
"540",14
"541",4
"542",19
"543",17
"544",7
"545",3
"546",3
"547",16
"548",20
"549",1
"550",4
"551",3
"552",3
"553",3
"554",5
"555",1
"556",3
"557",3
"558",3
"559",3
"560",3
"561",3
"562",8
"563",3
"564",3
"565",20
"566",3
"567",7
"568",3
"569",3
"570",16
"571",16
"572",3
"573",3
"574",20
"575",3
"576",9
"577",3
"578",4
"579",16
"580",3
"581",20
"582",16
"583",20
"584",3
"585",3
"586",3
"587",1
"588",3
"589",3
"590",3
"591",3
"592",3
"593",7
"594",4
"595",3
"596",1
"597",3
"598",1
"599",2
"600",2
"601",16
"602",1
"603",3
"604",18
"605",3
"606",3
"607",3
"608",3
"609",3
"610",3
"611",3
"612",3
"613",6
"614",3
"615",3
"616",3
"617",3
"618",5
"619",12
"620",6
"621",1
"622",1
"623",3
"624",4
"625",1
"626",19
"627",7
"628",3
"629",3
"630",1
"631",3
"632",16
"633",3
"634",2
"635",20
"636",17
"637",20
"638",17
"639",15
"640",17
"641",15
"642",15
"643",15
"644",15
"645",10
"646",15
"647",2
"648",15
"649",15
"650",15
"651",16
"652",17
"653",11
"654",2
"655",15
"656",2
"657",15
"658",15
"659",20
"660",15
"661",17
"662",15
"663",17
"664",17
"665",17
"666",20
"667",17
"668",15
"669",15
"670",15
"671",1
"672",15
"673",2
"674",15
"675",15
"676",20
"677",18
"678",19
"679",8
"680",15
"681",5
"682",2
"683",20
"684",11
"685",15
"686",15
"687",20
"688",11
"689",2
"690",4
"691",17
"692",17
"693",17
"694",17
"695",17
"696",8
"697",20
"698",15
"699",15
"700",15
"701",6
"702",4
"703",15
"704",15
"705",8
"706",8
"707",15
"708",15
"709",15
"710",8
"711",2
"712",2
"713",8
"714",15
"715",17
"716",15
"717",1
"718",8
"719",2
"720",17
"721",15
