"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","just","school","one","one","hair","know","car","old","sad","people","just","little","know","kids","dont","life","house","year","baby","food"
"2","back","hes","going","read","like","just","back","now","today","help","like","love","will","one","time","feel","dog","can","doctor","eat"
"3","morning","child","don","book","get","get","place","song","happy","many","one","got","love","will","even","much","room","christmas","like","day"
"4","night","kid","can","post","will","think","see","watch","children","white","baby","get","can","many","really","can","back","boys","pregnant","like"
"5","time","get","like","like","also","someone","around","movie","will","women","bag","one","children","family","just","just","home","little","hospital","dinner"
"6","bed","teacher","know","blog","just","going","like","music","day","work","pants","pretty","life","mom","like","way","door","pictures","months","eating"
"7","said","therapy","didn","just","advice","god","trip","new","love","black","clothes","kids","family","want","one","things","like","photo","pregnancy","lunch"
"8","like","one","ever","now","can","call","way","never","weekend","care","diaper","much","heart","child","still","want","outside","one","sick","cheese"
"9","room","speech","two","think","want","tell","took","still","little","word","small","great","day","daughter","didnt","time","around","kids","weeks","ate"
"10","get","week","say","people","look","right","city","mom","home","class","two","back","world","friends","thing","get","dogs","make","hours","every"
"11","got","year","will","write","question","person","next","video","beautiful","will","size","friends","sometimes","day","now","know","new","camera","better","since"
"12","around","well","said","will","totally","phone","street","favorite","sweet","every","wear","girls","things","post","ive","better","old","just","get","made"
"13","face","know","even","reading","well","people","water","show","good","run","bought","day","make","little","thats","now","cat","tree","still","table"
"14","thought","just","something","email","use","got","drive","else","amazing","span","day","family","time","home","something","hard","kitchen","fun","made","cream"
"15","day","asked","first","really","dont","said","think","years","tonight","none","old","just","home","hard","know","like","got","brother","cancer","put"
"16","asked","little","last","comments","now","can","drove","star","last","country","can","good","help","wanted","going","really","mom","photos","first","chicken"
"17","away","special","mother","thank","say","take","hours","seen","went","repeat","cover","right","made","going","right","always","floor","party","pain","week"
"18","head","class","see","internet","think","called","whole","also","wonderful","yellow","wearing","last","mother","long","okay","never","living","time","really","blue"
"19","told","next","enough","want","anyway","make","park","played","accident","children","store","sure","think","share","two","think","wall","like","nurse","first"
"20","looked","say","head","something","buy","really","really","playing","also","team","fit","lucy","god","can","probably","people","front","get","take","free"
