"","x"
"1",487
"2",278
"3",683
"4",449
"5",425
"6",1018
"7",392
"8",456
"9",716
"10",649
"11",276
"12",188
"13",195
"14",456
"15",1134
"16",285
"17",294
"18",310
"19",510
"20",310
"21",374
"22",418
"23",757
"24",731
"25",331
"26",257
"27",241
"28",259
"29",652
"30",689
"31",305
"32",983
"33",725
"34",589
"35",1084
"36",190
"37",324
"38",614
"39",267
"40",266
"41",546
"42",1324
"43",670
"44",236
"45",629
"46",430
"47",800
"48",654
"49",350
"50",301
"51",492
"52",274
"53",796
"54",283
"55",200
"56",89
"57",102
"58",824
"59",229
"60",413
"61",438
"62",160
"63",276
"64",948
"65",252
"66",837
"67",212
"68",143
"69",197
"70",653
"71",572
"72",322
"73",253
"74",335
"75",430
"76",558
"77",83
"78",300
"79",271
"80",392
"81",568
"82",127
"83",516
"84",664
"85",218
"86",285
"87",464
"88",870
"89",359
"90",496
"91",273
"92",439
"93",891
"94",686
"95",661
"96",151
"97",456
"98",591
"99",304
"100",245
"101",574
"102",862
"103",270
"104",390
"105",763
"106",824
"107",119
"108",881
"109",368
"110",487
"111",236
"112",306
"113",386
"114",286
"115",233
"116",1091
"117",164
"118",621
"119",316
"120",301
"121",384
"122",476
"123",597
"124",181
"125",346
"126",659
"127",1193
"128",77
"129",544
"130",766
"131",440
"132",329
"133",406
"134",387
"135",278
"136",273
"137",432
"138",474
"139",153
"140",455
"141",371
"142",873
"143",670
"144",545
"145",53
"146",224
"147",894
"148",428
"149",519
"150",882
"151",608
"152",253
"153",144
"154",462
"155",245
"156",637
"157",521
"158",297
"159",257
"160",298
"161",272
"162",370
"163",322
"164",1011
"165",250
"166",757
"167",331
"168",387
"169",249
"170",661
"171",447
"172",379
"173",395
"174",508
"175",125
"176",81
"177",541
"178",388
"179",539
"180",183
"181",330
"182",324
"183",331
"184",217
"185",327
"186",100
"187",368
"188",93
"189",321
"190",130
"191",348
"192",530
"193",210
"194",319
"195",685
"196",230
"197",523
"198",774
"199",1148
"200",553
"201",1147
"202",441
"203",197
"204",523
"205",298
"206",871
"207",457
"208",205
"209",756
"210",375
"211",100
"212",376
"213",1423
"214",515
"215",1123
"216",746
"217",629
"218",412
"219",542
"220",97
"221",284
"222",234
"223",504
"224",100
"225",481
"226",580
"227",388
"228",700
"229",373
"230",510
"231",657
"232",56
"233",588
"234",867
"235",920
"236",621
"237",619
"238",552
"239",105
