"","x"
"like",4728
"just",4362
"one",4290
"get",3030
"time",3030
"know",2924
"can",2843
"will",2698
"little",2548
"back",2318
"day",2238
"now",2095
"going",2011
"really",1965
"love",1927
"much",1889
"even",1795
"got",1764
"right",1763
"think",1672
"things",1619
"good",1563
"last",1548
"still",1533
"kids",1526
"first",1499
"make",1494
"way",1481
"two",1478
"want",1461
"around",1430
"also",1410
"every",1409
"life",1406
"people",1398
"see",1381
"home",1347
"year",1297
"thing",1265
"something",1254
"dont",1235
"well",1212
"family",1204
"new",1191
"ever",1183
"take",1174
"made",1153
"school",1132
"never",1119
"baby",1113
"said",1112
"look",1109
"say",1083
"pretty",1037
"night",1033
"years",1020
"next",1016
"many",979
"house",966
"week",949
"need",946
"feel",940
"sure",931
"work",920
"don",914
"days",909
"room",898
"since",894
"always",891
"old",891
"big",874
"kind",870
"let",869
"help",855
"morning",850
"children",839
"great",837
"put",834
"tell",820
"lot",819
"come",817
"three",810
"went",810
"maybe",800
"friends",799
"thought",797
"away",791
"long",791
"took",790
"head",788
"another",784
"god",773
"sad",751
"everything",749
"post",749
"better",732
"started",727
"whole",726
"didnt",718
"came",717
"getting",711
"someone",702
"today",700
"enough",697
"part",695
"hard",688
"mother",686
"trying",685
"asked",683
"yes",678
"wanted",676
"mom",667
"face",666
"find",666
"give",664
"read",664
"together",649
"told",641
"world",636
"months",630
"anything",623
"hair",621
"left",614
"bed",610
"girls",609
"happy",606
"actually",605
"hes",603
"child",598
"remember",596
"talk",589
"probably",586
"stop",585
"fun",583
"point",582
"without",581
"felt",580
"ive",575
"okay",574
"best",573
"girl",572
"didn",568
"hours",566
"thats",565
"car",564
"times",551
"end",548
"sometimes",548
"ago",545
"different",545
"bit",544
"heart",544
"totally",532
"keep",530
"minutes",529
"place",526
"try",521
"though",519
"couple",517
"least",517
"use",516
"blog",513
"pictures",512
"weeks",508
"friend",501
"book",500
"yet",498
"done",497
"already",490
"may",489
"stuff",485
"might",481
"makes",473
"full",471
"instead",469
"everyone",463
"found",462
"looking",462
"fact",460
"food",460
"mean",460
"favorite",459
"hand",457
