"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20"
"1","night","food","know","kids","post","little","head","store","baby","like","little","got","video","photo","house","hair","people","love","going","car"
"2","morning","eat","can","little","book","love","like","shop","like","didnt","make","told","song","camera","room","like","can","family","know","see"
"3","day","like","school","boys","blog","got","face","favorite","time","actually","paper","said","like","photos","dog","look","life","children","like","trip"
"4","last","dinner","things","family","read","pretty","hand","come","months","god","used","back","show","pictures","like","dont","will","christmas","say","back"
"5","bed","make","want","day","will","great","around","leave","now","thats","made","asked","will","can","new","wear","help","happy","youre","took"
"6","time","eating","kids","year","write","back","right","code","know","still","paint","mom","movie","will","around","shoes","many","will","didn","time"
"7","days","made","dont","sister","know","day","body","blog","really","okay","things","went","music","phone","kitchen","really","every","beautiful","dont","water"
"8","hours","good","time","mom","now","kids","back","visit","dont","thing","can","came","people","like","door","wearing","women","weekend","ever","way"
"9","sleep","can","like","daughter","reading","girls","mouth","items","pregnant","now","use","thought","watch","picture","living","now","work","today","someone","take"
"10","week","lunch","think","friends","books","friends","hands","can","weeks","damn","cut","like","may","iso","now","will","children","day","said","snow"
"11","back","chocolate","will","big","can","family","room","find","still","anyway","step","wanted","favorite","use","back","shirt","world","birthday","shes","place"
"12","next","water","sometimes","home","want","year","two","enter","doctor","shit","fun","looked","time","shot","floor","can","years","new","right","got"
"13","home","chicken","life","brother","think","right","front","love","think","know","wall","time","new","take","coco","dress","lives","amazing","can","around"
"14","today","ate","really","girl","really","school","minutes","comment","first","really","project","really","old","great","home","clothes","care","home","tell","city"
"15","now","cream","feel","will","com","things","door","giveaway","two","hell","something","took","name","look","cat","pants","make","wonderful","let","headed"
"16","every","bowl","hard","years","today","good","feet","person","another","hes","fabric","made","game","photography","dogs","think","part","favorite","something","drive"
"17","yesterday","cheese","way","many","email","sure","walk","month","ive","kind","wanted","never","man","course","going","buy","run","year","father","park"
"18","going","two","something","old","writing","time","side","winner","will","maybe","want","felt","guys","time","every","make","need","sweet","mother","next"
"19","three","table","every","love","like","dave","started","gift","going","probably","idea","saw","right","really","outside","bought","working","church","fact","weather"
"20","times","time","talk","days","thank","last","sitting","vintage","feel","fucking","top","knew","songs","dont","right","bag","thank","dinner","thing","outside"
