"","depression"
"postpartum",0.45
"suicide",0.38
"neurontin",0.34
"cope",0.33
"absofuckinlutely",0.32
"burdening",0.32
"handgun",0.32
"idealize",0.32
"impetuous",0.32
"prozac",0.32
"purported",0.32
"stacia",0.32
"tingled",0.32
"unanswerable",0.32
"trigger",0.3
"fiancé",0.29
"neuropsychiatric",0.29
"suffer",0.28
"debits",0.27
"mitigated",0.27
"punctuating",0.27
"speculatively",0.27
"unendurable",0.27
"feeds",0.26
"manifests",0.26
"gun",0.25
"juncture",0.25
"valium",0.25
"debilitating",0.24
"hopelessness",0.24
"medication",0.24
"candidly",0.23
"herring",0.23
"preciousness",0.23
"wrenched",0.23
"anaïs",0.21
"babybabybaybaaaaayyyybeeee",0.21
"cakethrottle",0.21
"copland",0.21
"cumberbatch",0.21
"disgraced",0.21
"eeeemail",0.21
"isaaaa",0.21
"kenry",0.21
"kilian",0.21
"morton",0.21
"otsuka",0.21
"overreporting",0.21
"pfizer",0.21
"pigeonholed",0.21
"projections",0.21
"scalable",0.21
"schönberger",0.21
"sciences",0.21
"tarashoe",0.21
"tooooo",0.21
"truckin",0.21
"uncleduke",0.21
"voids",0.21
"whacko",0.21
"brighter",0.2
"glitters",0.2
