"","x"
"1",383
"2",165
"3",132
"4",508
"5",370
"6",651
"7",373
"8",697
"9",18
"10",676
"11",520
"12",325
"13",748
"14",134
"15",45
"16",933
"17",293
"18",531
"19",54
"20",970
"21",956
"22",515
"23",366
"24",173
"25",596
"26",408
"27",289
"28",477
"29",214
"30",188
"31",417
"32",364
"33",508
"34",234
"35",634
"36",42
"37",178
"38",533
"39",722
"40",513
"41",376
"42",190
"43",389
"44",166
"45",192
"46",155
"47",90
"48",147
"49",80
"50",253
"51",359
"52",552
"53",239
"54",338
"55",448
"56",604
"57",327
"58",1457
"59",718
"60",179
"61",807
"62",254
"63",111
"64",431
"65",544
"66",593
"67",217
"68",344
"69",21
"70",98
"71",856
"72",501
"73",1441
"74",580
"75",446
"76",330
"77",105
"78",256
"79",501
"80",1751
"81",583
"82",48
"83",371
"84",404
"85",126
"86",486
"87",270
"88",267
"89",775
"90",862
"91",94
"92",448
"93",343
"94",599
"95",461
"96",188
"97",291
"98",726
"99",118
"100",367
"101",684
"102",177
"103",495
"104",662
"105",90
"106",292
"107",121
"108",846
"109",296
"110",445
"111",70
"112",515
"113",877
"114",51
"115",163
"116",100
"117",507
"118",802
"119",118
"120",884
"121",200
"122",378
"123",1141
"124",868
"125",760
"126",790
"127",58
"128",704
"129",388
"130",228
"131",225
"132",558
"133",90
"134",279
"135",664
"136",350
"137",277
"138",1027
"139",301
"140",233
"141",250
"142",582
"143",321
"144",1287
"145",1073
"146",193
"147",22
"148",108
"149",546
"150",440
"151",477
"152",720
"153",900
"154",737
"155",191
"156",1110
"157",661
"158",552
"159",122
"160",207
"161",132
"162",274
"163",564
"164",550
"165",437
"166",344
"167",220
"168",460
"169",0
"170",617
"171",195
"172",235
"173",0
"174",87
"175",218
"176",521
"177",722
"178",896
"179",556
"180",739
"181",1154
"182",337
"183",17
"184",328
"185",1083
"186",336
"187",154
"188",33
"189",561
"190",117
"191",430
"192",557
"193",120
"194",158
"195",193
"196",613
"197",72
"198",489
"199",352
"200",454
"201",237
"202",649
"203",526
"204",1572
"205",296
"206",472
"207",338
"208",394
"209",266
"210",310
"211",436
"212",131
"213",433
"214",376
"215",661
"216",184
"217",583
"218",733
"219",121
"220",146
"221",829
"222",11
"223",168
"224",152
"225",250
"226",551
"227",324
"228",443
"229",262
"230",733
"231",198
"232",489
"233",408
"234",144
"235",648
"236",153
"237",668
"238",141
"239",779
"240",240
"241",602
"242",0
"243",265
"244",1018
"245",162
"246",468
"247",434
"248",293
"249",1081
"250",725
"251",609
"252",117
"253",61
"254",443
"255",347
"256",669
"257",198
"258",119
"259",496
"260",215
"261",316
"262",277
"263",329
"264",108
"265",630
"266",630
"267",751
"268",755
"269",223
"270",416
"271",206
"272",858
"273",850
"274",102
"275",340
"276",89
"277",249
"278",258
"279",468
"280",291
"281",125
"282",42
"283",518
"284",791
"285",93
"286",521
"287",1109
"288",437
"289",192
"290",151
"291",93
"292",132
"293",270
"294",894
"295",307
"296",231
"297",157
"298",161
"299",951
"300",38
"301",274
"302",127
"303",628
"304",448
"305",611
"306",391
"307",271
"308",383
"309",306
"310",13
"311",1089
"312",525
"313",235
"314",61
"315",99
"316",382
"317",809
"318",363
"319",132
"320",316
"321",363
"322",915
"323",345
"324",297
"325",447
"326",637
"327",1166
"328",300
"329",322
"330",1364
"331",329
"332",345
"333",680
"334",239
"335",566
"336",311
"337",902
"338",362
"339",304
"340",368
"341",435
"342",806
"343",673
"344",200
"345",399
"346",355
"347",1019
"348",268
"349",0
"350",650
"351",398
"352",311
"353",536
"354",230
"355",689
"356",377
"357",612
"358",281
"359",77
"360",978
"361",398
"362",46
"363",323
"364",45
"365",772
"366",388
"367",351
"368",434
"369",343
"370",688
"371",469
"372",518
"373",72
"374",104
"375",302
"376",377
"377",672
"378",61
"379",304
"380",255
"381",922
"382",232
"383",76
"384",317
"385",229
"386",578
"387",322
"388",57
"389",374
"390",165
"391",289
"392",142
"393",1220
"394",269
"395",1007
"396",192
"397",202
"398",185
"399",408
"400",163
"401",221
"402",747
"403",27
"404",12
"405",69
"406",1524
"407",16
"408",316
"409",51
"410",75
"411",3
"412",18
"413",27
"414",87
"415",23
"416",144
"417",273
"418",82
"419",13
"420",47
"421",275
"422",41
"423",0
"424",0
"425",227
"426",48
"427",0
"428",648
"429",945
"430",13
"431",15
"432",4
"433",0
"434",0
"435",105
"436",53
"437",41
"438",818
"439",27
"440",37
"441",133
"442",0
"443",824
"444",20
"445",47
"446",0
"447",169
"448",0
"449",72
"450",9
"451",34
"452",32
"453",48
"454",356
"455",11
"456",37
"457",21
"458",27
"459",61
"460",0
"461",83
"462",21
"463",51
"464",269
"465",49
"466",182
"467",377
"468",66
"469",401
"470",117
"471",58
"472",82
"473",0
"474",86
"475",10
"476",49
"477",104
"478",286
"479",17
"480",549
"481",484
"482",23
"483",0
"484",0
"485",14
"486",284
"487",311
"488",43
"489",0
"490",124
"491",66
"492",40
"493",27
"494",52
"495",17
"496",30
"497",74
"498",16
"499",50
"500",244
"501",410
"502",323
"503",12
"504",132
"505",0
"506",30
"507",0
"508",19
"509",250
"510",49
"511",97
"512",457
"513",69
"514",6
"515",442
"516",669
"517",22
"518",40
"519",150
"520",22
"521",41
"522",73
"523",123
"524",82
"525",102
"526",58
"527",0
"528",0
"529",73
"530",45
"531",42
"532",489
"533",88
"534",42
"535",190
"536",41
"537",584
"538",0
"539",17
"540",17
