"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic21","topic22","topic23","topic24","topic25","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"1","able",0.000804064804201666,4.51877138713958e-05,0.00248763800998338,3.30718651629992e-05,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.0010505092686237,0.000633067380599143,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,0.000158693910411482,4.06093019667085e-06,0.00178173464184842,8.21834498968598e-06,0.00170442641238059,3.6125993013233e-06,0.385705204654676
"2","about",0.00616449683221277,0.0138890600544717,0.0109048109184097,0.0130513606065981,0.000124792754889202,0.0183291816931256,0.00640115647213599,0.000948109049174147,0.00075603622539531,0.0128074004278976,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,0.00546313375212957,0.00015918859300025,5.2932738369354e-06,0.00717807548216796,9.11419170790839e-06,4.80194382686112e-06,0.00290680796875665,0.00966907479827329,0.0106617625996139,8.21834498968598e-06,6.22880084258688e-05,3.6125993013233e-06,-9.8838111287958
"3","across",0.00188755638433157,4.10797398830871e-06,0.000541606390486484,6.31371971293621e-05,0.000124792754889202,0.000111536602595085,5.19996464024045e-06,5.5444973635915e-06,0.000112601139952493,2.68442683460441e-06,7.9382834544523e-05,6.52490228958822e-06,4.83257542442093e-06,0.00202941551952597,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,0.00206963778937714,3.87058318076785e-06,4.06093019667085e-06,0.000521343576875261,9.04017948865458e-05,5.66254622053353e-06,3.6125993013233e-06,-8.17634772786836
"4","activities",5.70258726384161e-06,4.10797398830871e-06,4.92369445896804e-05,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00157250145179076,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.46702321633793e-05,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.97385923145563e-05,8.10722901516881
"5","advantage",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,9.32025290957251e-05,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00170299949758252,4.83257542442093e-06,0.000400600460470419,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,0.000100840820364083,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,8.22224567550874
"6","after",0.00262889272863098,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,0.000719043968647306,5.31126679024214e-06,0.000577196075066689,0.00100355402281006,5.8981549498925e-05,0.00397563614204913,7.21662132222937e-06,0.0032689760470837,0.000149809838157049,0.00365823057858152,0.000310796776810012,0.00678068378511425,0.00494606755853983,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,0.00789782953508822,5.66254622053353e-06,0.00715655921592145,0.314383531704724
"7","against",0.00120324591267058,4.51877138713958e-05,2.3446164090324e-06,0.000634378504490257,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,0.000116434444635422,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,7.17739251854704e-05,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,0.00038895744997575,3.87058318076785e-06,0.00118173068723122,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-4.06732789113103
"8","age",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,0.0016565997913466,5.94251213758104e-06,5.31126679024214e-06,0.000733195014273903,6.09894709995065e-05,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.00229024070364546,0.00010148408391284,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,5.28213820954723e-05,4.25764149884463e-05,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,8.64966689924341
"9","ahead",0.00108919416739375,4.10797398830871e-06,0.00103397583638329,0.000123267861062088,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,0.000112601139952493,2.68442683460441e-06,7.21662132222937e-06,7.17739251854704e-05,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,0.000533015764781584,3.87058318076785e-06,0.000247716741996922,5.72905029533254e-06,0.000254768694680265,5.66254622053353e-06,3.6125993013233e-06,-3.9236575304596
"10","air",0.00274294447390781,8.62674537544828e-05,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.84239346926636e-05,5.19996464024045e-06,5.5444973635915e-06,0.000219840320859629,2.68442683460441e-06,7.21662132222937e-06,0.00065901513124841,4.83257542442093e-06,0.001325063061556,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,0.000938074875430966,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,7.58645853277892e-05,-2.05734192207939
