"","topic","term","beta"
"1",1,"car",0.0247549313123364
"2",1,"back",0.0196796286475174
"3",1,"out",0.018938292303218
"4",1,"myy",0.0145473001100599
"5",1,"had",0.012779498058269
"6",1,"mee",0.0126654463129922
"7",1,"drive",0.00827445411983417
"8",1,"know",0.00776122126608842
"9",1,"hours",0.00673475555859693
"10",1,"got",0.0066207038133201
"11",2,"our",0.0514227549442447
"12",2,"year",0.0409829112809036
"13",2,"this",0.0360892345637124
"14",2,"christmas",0.0340665148539401
"15",2,"family",0.0285203479077901
"16",2,"favorite",0.0175585120612819
"17",2,"last",0.0137088197104248
"18",2,"all",0.0123385902296113
"19",2,"new",0.010837862703006
"20",2,"each",0.0102506214969431
"21",3,"her",0.18694447512353
"22",3,"she",0.155635801372396
"23",3,"girl",0.0175318969118699
"24",3,"shes",0.0133542057825008
"25",3,"when",0.0131141085911577
"26",3,"but",0.0118656031961738
"27",3,"little",0.0109532338690702
"28",3,"sister",0.00802404813468492
"29",3,"daughter",0.00735177599892436
"30",3,"day",0.00615129004220909
"31",4,"you",0.220898052709602
"32",4,"your",0.0747448318038079
"33",4,"have",0.027175364512171
"34",4,"dont",0.0167247899240979
"35",4,"know",0.0154087916426368
"36",4,"want",0.0150604391563677
"37",4,"what",0.0134735000522529
"38",4,"this",0.0118478551163304
"39",4,"can",0.0117317376209073
"40",4,"think",0.00968032853510038
"41",5,"not",0.0205929770273179
"42",5,"out",0.0146234096382117
"43",5,"night",0.0140142701087111
"44",5,"because",0.0139330515047777
"45",5,"then",0.0132426933713436
"46",5,"when",0.0129990375595434
"47",5,"over",0.0121868515202092
"48",5,"like",0.0111310096690748
"49",5,"had",0.0107655259513744
"50",5,"into",0.0106030887435076
"51",6,"this",0.0257291648763385
"52",6,"our",0.0155887458535999
"53",6,"about",0.0106617625996139
"54",6,"had",0.0106044720966605
"55",6,"who",0.0094013715346407
"56",6,"now",0.00928679052873405
"57",6,"care",0.00865659499624747
"58",6,"their",0.00802639946376089
"59",6,"have",0.00796910896080757
"60",6,"but",0.00756807544013429
"61",7,"very",0.0115960847804469
"62",7,"song",0.0111029840810658
"63",7,"now",0.0105276999317877
"64",7,"movie",0.00970586543281914
"65",7,"video",0.00962368198292228
"66",7,"this",0.00945931508312856
"67",7,"after",0.00789782953508822
"68",7,"night",0.00773346263529451
"69",7,"mom",0.00699381158622277
"70",7,"halloween",0.00658289433673847
"71",8,"this",0.0409458717206779
"72",8,"here",0.0359062055844031
"73",8,"more",0.0201077016291145
"74",8,"help",0.0199944507047039
"75",8,"all",0.0182956868385438
"76",8,"have",0.0159174174259197
"77",8,"some",0.0142186535597597
"78",8,"who",0.0120102605337516
"79",8,"can",0.0107078749030289
"80",8,"these",0.0106512494408236
"81",9,"myy",0.129623675530781
"82",9,"mee",0.0679204794641793
