"","x"
"1",387
"2",168
"3",132
"4",517
"5",375
"6",658
"7",384
"8",704
"9",18
"10",685
"11",528
"12",328
"13",753
"14",137
"15",45
"16",953
"17",296
"18",546
"19",54
"20",990
"21",964
"22",527
"23",374
"24",173
"25",603
"26",411
"27",293
"28",483
"29",214
"30",190
"31",431
"32",375
"33",525
"34",235
"35",638
"36",42
"37",180
"38",540
"39",730
"40",518
"41",382
"42",192
"43",389
"44",172
"45",198
"46",159
"47",90
"48",148
"49",82
"50",260
"51",363
"52",558
"53",246
"54",348
"55",448
"56",619
"57",329
"58",1476
"59",748
"60",182
"61",823
"62",257
"63",116
"64",439
"65",547
"66",600
"67",223
"68",358
"69",23
"70",103
"71",893
"72",516
"73",1477
"74",594
"75",456
"76",335
"77",106
"78",260
"79",510
"80",1763
"81",589
"82",49
"83",380
"84",412
"85",126
"86",495
"87",275
"88",270
"89",781
"90",896
"91",95
"92",457
"93",352
"94",612
"95",464
"96",189
"97",295
"98",744
"99",120
"100",370
"101",693
"102",178
"103",499
"104",673
"105",90
"106",293
"107",123
"108",856
"109",300
"110",462
"111",70
"112",528
"113",901
"114",54
"115",164
"116",102
"117",520
"118",808
"119",120
"120",891
"121",204
"122",378
"123",1154
"124",895
"125",806
"126",802
"127",58
"128",711
"129",392
"130",235
"131",227
"132",568
"133",90
"134",283
"135",669
"136",356
"137",280
"138",1041
"139",306
"140",235
"141",253
"142",595
"143",331
"144",1309
"145",1091
"146",196
"147",22
"148",110
"149",556
"150",452
"151",481
"152",739
"153",914
"154",749
"155",193
"156",1130
"157",662
"158",553
"159",125
"160",220
"161",132
"162",278
"163",568
"164",562
"165",460
"166",353
"167",221
"168",477
"169",0
"170",628
"171",204
"172",236
"173",0
"174",88
"175",220
"176",524
"177",751
"178",904
"179",559
"180",749
"181",1180
"182",341
"183",17
"184",331
"185",1091
"186",341
"187",158
"188",34
"189",569
"190",117
"191",442
"192",574
"193",124
"194",160
"195",195
"196",620
"197",72
"198",498
"199",370
"200",458
"201",242
"202",652
"203",529
"204",1645
"205",301
"206",480
"207",362
"208",402
"209",276
"210",316
"211",437
"212",136
"213",439
"214",383
"215",668
"216",185
"217",594
"218",744
"219",122
"220",149
"221",847
"222",11
"223",174
"224",156
"225",250
"226",566
"227",327
"228",450
"229",266
"230",752
"231",202
"232",496
"233",416
"234",151
"235",670
"236",162
"237",686
"238",148
"239",781
"240",244
"241",610
"242",0
"243",268
"244",1040
"245",164
"246",472
"247",438
"248",297
"249",1100
"250",733
"251",627
"252",118
"253",62
"254",451
"255",352
"256",673
"257",199
"258",122
"259",507
"260",222
"261",337
"262",288
"263",329
"264",109
"265",642
"266",647
"267",758
"268",769
"269",230
"270",423
"271",219
"272",870
"273",865
"274",102
"275",347
"276",90
"277",255
"278",262
"279",477
"280",297
"281",126
"282",44
"283",529
"284",809
"285",95
"286",527
"287",1125
"288",438
"289",195
"290",151
"291",94
"292",132
"293",281
"294",923
"295",310
"296",233
"297",166
"298",161
"299",960
"300",41
"301",278
"302",132
"303",635
"304",456
"305",621
"306",403
"307",279
"308",385
"309",314
"310",13
"311",1099
"312",533
"313",237
"314",63
"315",101
"316",386
"317",821
"318",368
"319",134
"320",321
"321",374
"322",924
"323",354
"324",307
"325",452
"326",640
"327",1183
"328",307
"329",326
"330",1401
"331",332
"332",351
"333",684
"334",240
"335",587
"336",314
"337",910
"338",376
"339",307
"340",375
"341",460
"342",812
"343",683
"344",204
"345",406
"346",362
"347",1055
"348",271
"349",0
"350",664
"351",417
"352",314
"353",545
"354",231
"355",697
"356",383
"357",644
"358",284
"359",80
"360",991
"361",407
"362",48
"363",335
"364",47
"365",784
"366",393
"367",361
"368",435
"369",343
"370",692
"371",470
"372",531
"373",73
"374",107
"375",302
"376",382
"377",696
"378",62
"379",315
"380",261
"381",939
"382",233
"383",77
"384",325
"385",232
"386",579
"387",327
"388",60
"389",376
"390",166
"391",296
"392",142
"393",1231
"394",276
"395",1016
"396",217
"397",205
"398",192
"399",416
"400",163
"401",226
"402",759
"403",29
"404",12
"405",71
"406",1576
"407",16
"408",322
