"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"1","able",0.00202508291418656,5.78954986249819e-06,0.000134706052150486,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,0.00211883437689889,4.35929292268794e-06,0.00145184008089855,6.21484727012834e-06,6.70173910129679e-06,6.94516789943397e-06,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,0.000147239263803681,0.000332236734959773,-8.18775569121769
"2","afternoon",4.83208504469679e-05,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,0.00176872815681507,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.94539347755427e-05,6.21484727012834e-06,6.70173910129679e-06,0.00160433378476925,6.19214217158426e-06,0.00352092940307253,6.62449074227419e-06,0.000389689206886639,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,7.16589036187746e-05,5.0531846719904
"3","also",0.00624217531683103,5.78954986249819e-06,6.4145739119279e-06,0.000901217602505512,0.00857620422428203,9.03546419697311e-06,0.00417954611502999,4.35929292268794e-06,7.22308497959479e-06,0.0068425468444113,7.37191301142647e-05,0.00278501232767302,6.19214217158426e-06,0.00662913046801355,6.62449074227419e-06,7.02718241926725e-05,0.00011997600479904,6.8575347162695e-06,7.011393514461e-06,0.00912673854271848,-1.16436516357622
"4","always",0.00474862175756112,0.000179476045737444,6.4145739119279e-06,6.39161420216676e-06,0.00055310743048169,0.000280099390106167,0.00380967477741671,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,0.00818282344268338,0.00181268882175227,0.000811170624477538,5.09541158187053e-06,0.0014640124540426,0.000645223113041812,0.00383351901048362,0.000144008229041659,0.000147239263803681,6.51444578352496e-06,-1.38937756195312
"5","amazing",0.00105866590524721,6.36850484874801e-05,6.4145739119279e-06,6.39161420216676e-06,0.00055310743048169,9.03546419697311e-06,0.00322844838973871,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,0.000274771303153168,6.94516789943397e-06,6.19214217158426e-06,0.0022470765076049,0.0235898115332384,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,0.00170027034950002,-7.25202208701832
"6","andrew",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,0.00174076348008234,6.21484727012834e-06,6.70173910129679e-06,0.0100079869430843,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.7125328659071e-05,6.51444578352496e-06,11.1537218693864
"7","animal",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.94539347755427e-05,6.21484727012834e-06,6.70173910129679e-06,0.00146543042678057,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,7.02718241926725e-05,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,8.38196643791883
"8","anniversary",4.39280458608799e-06,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,0.000341788694166136,0.00188214050074661,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,0.000144008229041659,0.00225065731814198,6.51444578352496e-06,8.74301629056551
"9","answers",0.00101473785938633,5.78954986249819e-06,6.4145739119279e-06,6.39161420216676e-06,6.07810363166692e-06,0.000189744748136436,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,6.21484727012834e-06,6.70173910129679e-06,7.63968468937737e-05,6.19214217158426e-06,5.09541158187053e-06,6.62449074227419e-06,6.38834765387932e-06,5.71314308566858e-06,6.8575347162695e-06,7.011393514461e-06,6.51444578352496e-06,-3.73145017356712
"10","anyone",0.0017175865931604,5.78954986249819e-06,0.000583726225985439,6.39161420216676e-06,6.07810363166692e-06,9.03546419697311e-06,5.28387625161819e-06,4.35929292268794e-06,7.22308497959479e-06,0.000192660265373979,6.70173910129679e-06,6.94516789943397e-06,6.19214217158426e-06,5.09541158187053e-06,0.0002053592130105,6.38834765387932e-06,0.000234238866512412,0.000418309617692439,7.011393514461e-06,0.00326373733754601,-7.95015754809571
